Source sentence,Answer sentence,Event1,Event2,labels
"The New York-based company reported a third-quarter net loss of $ 5.1 million , or 10 cents a share , compared with a year-earlier net loss of $ 6.2 million , or 12 cents a share . ",loss and loss have no relationship,loss ,loss ,NONE
"Everyone appears to believe that somehow Cuba is going to change . Not all Cubans believe , but Castro has invited everyone to welcome the man who has been one of Communism 's most effective adversaries , and that 's why there is suspense . ",appears and suspense have no relationship,appears ,suspense ,NONE
Other market-maker gripes : Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market . ,trading is the cause of lose ,trading ,lose ,Cause-Effect
"The extremist party recently took a surprising 13 percent of the vote in elections in a depressed eastern German state , and hopes to win its first seats in the federal parliament this September . Parliamentary president Rita Suessmuth said the People 's Union correctly listed Jacques de Mathan as having donated about 274,500 marks in 1995 , but gave a false address for him . ",win and said have no relationship,win ,said ,NONE
"Giant Group owned 22 % of Rally 's shares before the initial public offering . A group of investors led by Giant Group Ltd. and its chairman , Burt Sugarman , said it filed with federal antitrust regulators for clearance to buy more than 50 % of the stock of Rally 's Inc., a fast-food company based in Louisville , Ky . ",owned and filed have no relationship,owned ,filed ,NONE
"As part of the agreement , Cilcorp said it will pay Hunter $ 4 million in exchange for agreements not to compete . ",agreements is the cause of pay ,agreements ,pay ,Cause-Effect
"The increase reflected the strength of the housing industry , which has been helped not just by declining interest rates but also by unusually warm weather . ",strength is the cause of increase ,strength ,increase ,Cause-Effect
"Compaq Computer Corp. said that its net income rose 51 % in the third quarter , bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations . ",growth is the cause of rose ,growth ,rose ,Cause-Effect
"But with the task-force investigation just getting under way , officials have been careful not to draw any firm conclusions , leaving open the possibility of a serial killer in some of the cases . ",getting is the cause of careful ,getting ,careful ,Cause-Effect
"Today , hundreds of people from the US began to arrive , including some Cuban Americans who left here when Castro came to power and are returning to Havana for the first time . The Pope 's visit is important , but they are also coming home . ",returning and visit have no relationship,returning ,visit ,NONE
"But a minute and a half later , a pilot from a nearby flight calls in. Ah , we just saw an explosion up ahead of us here about sixteen thousand feet or something like that . ",calls and saw have no relationship,calls ,saw ,NONE
"Jayark Corp. agreed to pay $ 4 million in cash , $ 2 million of 12 % convertible debentures , and 1.6 million common shares to acquire closely held Kofcoh Imports Inc. David L. Koffman , president and chief executive officer of Jayark , holds about 40 % of Kofcoh , Jayark said . ",acquire and said have no relationship,acquire ,said ,NONE
The UN security council insists any deal must allow UN inspectors unrestricted access to all suspected weapons sites . Annan wrapped up a three hour meeting with Iraqi president Saddam Hussein in Baghdad today . ,insists and meeting have no relationship,insists ,meeting ,NONE
"That , he said , is why Unisys is overhauling its whole business : It needs to prepare for a world in which profit margins will be lower than computer companies have been used to . "" The information-systems industry is still going to be a high-growth business , and we 're confident that we have tremendous assets as a company . ",lower and have have no relationship,lower ,have ,NONE
"Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses . ",declines is the cause of hurt ,declines ,hurt ,Cause-Effect
"Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds , because federal regulations , such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries , have n't yet been completed . The price of Columbia shares has been cut nearly in half since August , when they traded at about $ 10 , as investors apparently realized that the thrift would be forced to take a big write-down . ",dispose and cut have no relationship,dispose ,cut ,NONE
"Salt Lake City-based First Security , with $ 5.4 billion in assets , said the agreement is subject to shareholder and regulatory approval , and that it hopes to complete the transaction early next year . ",subject and said have no relationship,subject ,said ,NONE
""" The phony war has finished and the real referendum campaign has clearly begun , "" Australians for a Constitutional Monarchy executive director Kerry Jones said . Calling for an amended constitution with a new preamble , to be written by Australian poets , republican Janet Holmes a Court said , "" We need the smell of eucalyptus in this , and the feel of red dust . "" ",begun and written have no relationship,begun ,written ,NONE
